Y,Base,Altura,Diametro_Externo,Inertia,DistanceC,Thickness,Sigma,Safety Factor,M/EI,Angle,Deflection,Total mass,Mass Per Section
0.9941239417,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,3345.7950074478645,4483.239399487847,0.0002230530004965243,0.2362832329803182,0.1371613840936548,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9988222075,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,169.28810824230388,88606.34190873195,1.1285873882820256e-05,0.23628328600435347,0.13827150577540068,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.022360842,0.06,0.032,,8.474799999999997e-08,0.016,0.003,11549785.791287115,1.2987253851336054,0.24062053731848154,0.0,0.0,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.066944665,0.06,0.032,,8.474799999999997e-08,0.016,0.003,10436778.811535379,1.437225054862815,0.21743289190698706,0.009693989567159243,0.00043219511502607435,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.111115751,0.06,0.032,,8.474799999999997e-08,0.016,0.003,9388755.42549677,1.5976558468298083,0.19559907136451604,0.01833381296992142,0.0012420195444283887,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.154601772,0.06,0.032,,8.474799999999997e-08,0.016,0.003,8410691.618445277,1.7834442969117874,0.17522274205094326,0.02595355281042632,0.0023706362869671967,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.197134622,0.06,0.032,,8.474799999999997e-08,0.016,0.003,7506046.362392036,1.9983889355060926,0.1563759658831674,0.0326046683109402,0.00375740575353617,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.238452071,0.06,0.032,,8.474799999999997e-08,0.016,0.003,6676810.008023791,2.2465818230523102,0.13910020850049565,0.03835193408154879,0.005342009834001923,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.278299383,0.06,0.032,,8.474799999999997e-08,0.016,0.003,5923589.850379951,2.5322482445400687,0.12340812188291565,0.04326941601755136,0.007066179754111091,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.316430888,0.048,0.02,,2.2395999999999998e-08,0.01,0.003,12406374.057867477,1.2090559199678315,0.41354580192891593,0.05903853983153283,0.009317408130889885,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
0.352611491,0.048,0.02,,2.2395999999999998e-08,0.01,0.003,10977237.721021611,1.36646398494903,0.36590792403405376,0.07227730916556308,0.011932444759717383,0.15311999999999998,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.030959999999999998}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02975999999999999}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.015840000000000003}]"
